Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
63.0,Female,62.7,1.64,185.0,144.0,69.0,1.03,612.0,Strength,24.8,2.6,5.0,3.0,23.21
24.0,Male,90.3,1.84,143.0,116.0,76.0,0.63,460.0,Strength,21.3,2.1,3.0,1.0,26.41
37.0,Female,62.5,1.57,198.0,159.0,67.0,1.22,339.0,Strength,27.2,2.3,5.0,3.0,25.76
22.0,Female,60.6,1.62,149.0,134.0,62.0,0.94,80.0,Yoga,25.8,2.4,4.0,2.0,22.79
27.0,Male,65.9,1.8,175.0,125.0,75.0,0.42,1045.0,Cardio,16.4,2.1,2.0,2.0,19.85
28.0,Female,72.7,1.69,163.0,138.0,70.0,1.02,539.0,HIIT,27.9,2.9,5.0,3.0,24.95
23.0,Female,72.3,1.66,186.0,152.0,76.0,1.16,935.0,Cardio,27.5,2.6,4.0,3.0,26.48
23.0,Female,63.9,1.53,160.0,125.0,71.0,1.04,995.0,Cardio,30.9,2.1,4.0,2.0,27.57
34.0,Male,75.1,1.71,150.0,126.0,65.0,0.3,299.0,HIIT,23.2,2.4,2.0,2.0,26.12
21.0,Female,53.0,1.65,168.0,133.0,62.0,0.88,352.0,Cardio,23.7,2.7,3.0,2.0,19.03
46.0,Female,77.5,1.69,152.0,117.0,69.0,0.78,1206.0,Yoga,31.6,1.8,2.0,1.0,27.05
25.0,Female,61.1,1.62,174.0,152.0,65.0,1.25,633.0,Cardio,27.3,2.3,4.0,3.0,24.13
70.0,Female,55.8,1.59,161.0,139.0,67.0,1.16,442.0,HIIT,24.6,2.2,3.0,2.0,21.97
31.0,Female,58.3,1.6,169.0,141.0,60.0,1.13,319.0,Cardio,19.0,1.8,4.0,2.0,22.58
37.0,Female,56.7,1.61,156.0,129.0,64.0,0.45,601.0,Yoga,26.0,2.2,2.0,2.0,21.87
20.0,Female,75.9,1.65,171.0,132.0,57.0,0.63,1131.0,Cardio,26.6,2.6,2.0,1.0,28.06
56.0,Female,51.0,1.66,173.0,139.0,48.0,0.9,870.0,Cardio,21.6,3.1,4.0,3.0,18.69
49.0,Male,67.1,1.8,162.0,135.0,71.0,0.44,705.0,Yoga,19.7,1.6,2.0,1.0,20.49
40.0,Female,59.4,1.62,170.0,137.0,84.0,0.75,1158.0,HIIT,29.1,2.8,3.0,2.0,22.43
20.0,Female,79.8,1.63,159.0,147.0,81.0,0.85,1098.0,Cardio,36.6,2.5,3.0,2.0,29.93
39.0,Male,80.6,1.7,163.0,140.0,61.0,0.87,758.0,Cardio,21.6,1.4,3.0,2.0,27.63
23.0,Male,61.8,1.84,143.0,113.0,73.0,0.69,1535.0,Cardio,12.7,2.0,2.0,1.0,17.82
54.0,Male,97.3,1.85,193.0,156.0,54.0,1.45,578.0,Yoga,25.7,2.6,6.0,3.0,29.06
46.0,Female,100.5,1.88,189.0,159.0,55.0,1.37,1009.0,HIIT,30.5,3.3,4.0,3.0,28.29
37.0,Female,54.9,1.68,176.0,136.0,60.0,1.08,526.0,Strength,18.9,2.1,5.0,2.0,19.33
18.0,Female,39.6,1.55,157.0,122.0,70.0,0.61,936.0,Cardio,20.2,2.4,2.0,1.0,16.37
24.0,Female,69.1,1.71,169.0,145.0,67.0,1.06,574.0,Cardio,27.7,2.4,4.0,2.0,23.6
44.0,Female,72.7,1.59,145.0,118.0,74.0,0.63,794.0,Cardio,26.3,1.4,3.0,1.0,28.91
51.0,Male,80.2,1.62,130.0,89.0,77.0,0.58,1407.0,Cardio,23.5,1.9,3.0,1.0,30.4
49.0,Female,55.4,1.64,177.0,153.0,66.0,1.25,960.0,Cardio,21.5,3.1,5.0,2.0,21.0
18.0,Male,91.5,1.73,173.0,133.0,68.0,0.62,801.0,Strength,25.8,2.4,3.0,2.0,30.78
40.0,Female,51.1,1.76,165.0,146.0,56.0,1.01,405.0,Cardio,22.3,3.2,5.0,2.0,16.43
48.0,Female,66.0,1.69,138.0,107.0,63.0,0.71,706.0,Yoga,24.5,2.5,2.0,1.0,22.88
18.0,Male,75.9,1.82,149.0,115.0,62.0,0.61,323.0,Cardio,20.5,1.9,1.0,1.0,23.29
36.0,Male,89.6,1.78,155.0,130.0,73.0,0.75,933.0,Cardio,31.4,1.9,3.0,2.0,28.22
39.0,Female,77.2,1.62,135.0,111.0,70.0,0.49,920.0,Strength,27.7,1.6,3.0,1.0,28.98
32.0,Male,91.1,1.8,138.0,111.0,59.0,0.51,587.0,Yoga,22.5,2.8,2.0,1.0,28.47
18.0,Female,56.2,1.73,175.0,141.0,68.0,1.1,1185.0,Cardio,24.0,2.5,5.0,3.0,18.52
32.0,Female,76.5,1.66,162.0,138.0,63.0,0.83,1138.0,Strength,32.2,1.3,4.0,1.0,28.07
32.0,Male,81.9,1.78,163.0,144.0,80.0,1.22,702.0,HIIT,23.9,2.8,5.0,3.0,24.97
34.0,Female,53.1,1.71,166.0,129.0,68.0,0.41,827.0,Cardio,26.9,1.3,3.0,1.0,18.03
29.0,Female,45.5,1.66,163.0,132.0,73.0,0.76,461.0,Strength,21.2,2.1,5.0,3.0,16.92
31.0,Female,77.7,1.67,173.0,137.0,76.0,0.75,563.0,Cardio,23.3,2.5,4.0,1.0,27.86
36.0,Female,65.6,1.66,156.0,122.0,65.0,0.84,304.0,Yoga,26.3,3.2,2.0,1.0,24.02
41.0,Female,46.3,1.56,174.0,129.0,69.0,1.03,498.0,Yoga,20.5,2.8,4.0,2.0,18.71
32.0,Female,62.2,1.64,169.0,132.0,72.0,0.98,617.0,Cardio,29.6,2.2,4.0,3.0,23.25
31.0,Male,82.9,1.79,149.0,127.0,73.0,0.68,117.0,Strength,25.6,2.1,2.0,1.0,25.87
37.0,Male,90.1,1.93,161.0,129.0,75.0,0.64,832.0,Yoga,16.6,2.5,3.0,1.0,24.27
18.0,Female,50.2,1.67,161.0,137.0,59.0,0.8,977.0,Strength,25.5,3.1,3.0,2.0,18.71
42.0,Female,86.2,1.65,130.0,106.0,76.0,0.73,643.0,Strength,35.2,2.0,1.0,1.0,32.12
36.0,Male,106.6,1.94,132.0,115.0,69.0,0.62,80.0,Yoga,23.7,2.0,2.0,1.0,28.6
36.0,Female,67.1,1.7,130.0,104.0,74.0,0.47,562.0,Yoga,25.3,1.7,2.0,2.0,23.5
48.0,Male,84.8,1.93,169.0,137.0,74.0,1.06,206.0,Strength,24.4,2.7,3.0,2.0,22.45
18.0,Male,80.1,1.78,166.0,139.0,73.0,0.91,456.0,HIIT,16.3,2.9,3.0,2.0,25.12
18.0,Female,62.1,1.78,152.0,133.0,70.0,1.0,1116.0,Strength,24.0,1.6,3.0,2.0,19.06
39.0,Female,67.6,1.64,154.0,138.0,72.0,0.95,80.0,Yoga,30.4,2.3,4.0,3.0,24.69
36.0,Female,50.7,1.64,185.0,140.0,73.0,1.1,392.0,Yoga,21.8,1.9,3.0,2.0,18.54
38.0,Female,62.8,1.63,170.0,139.0,78.0,1.0,917.0,Yoga,27.8,2.5,4.0,1.0,23.63
30.0,Female,52.6,1.62,130.0,106.0,72.0,0.52,419.0,Cardio,23.4,1.5,2.0,1.0,19.61
44.0,Male,64.9,1.79,147.0,115.0,73.0,0.7,398.0,Yoga,15.8,1.5,2.0,1.0,20.24
47.0,Female,92.3,1.75,186.0,140.0,75.0,1.02,1303.0,Yoga,28.7,3.0,4.0,2.0,30.08
42.0,Male,76.4,1.78,185.0,152.0,65.0,1.05,775.0,HIIT,23.4,2.4,3.0,2.0,23.72
33.0,Male,75.6,1.75,139.0,133.0,59.0,1.13,951.0,Cardio,19.8,2.4,4.0,2.0,25.22
18.0,Female,47.1,1.69,191.0,142.0,71.0,0.88,810.0,Yoga,15.6,2.6,4.0,2.0,16.03
45.0,Female,59.6,1.66,158.0,145.0,67.0,1.07,705.0,Strength,24.7,2.9,4.0,2.0,22.02
51.0,Female,69.0,1.64,160.0,134.0,60.0,0.71,1053.0,Cardio,26.0,2.3,3.0,2.0,24.87
44.0,Male,73.7,1.73,166.0,147.0,72.0,0.95,1262.0,Cardio,18.1,2.3,3.0,2.0,24.58
25.0,Female,43.3,1.62,152.0,130.0,82.0,0.61,109.0,Cardio,20.4,1.9,2.0,1.0,16.08
44.0,Male,82.8,1.81,162.0,132.0,61.0,0.87,639.0,Yoga,24.5,2.6,3.0,2.0,25.04
46.0,Male,93.5,1.9,134.0,123.0,79.0,0.63,633.0,Cardio,22.8,2.1,2.0,1.0,26.53
55.0,Male,102.7,1.87,169.0,142.0,54.0,0.74,513.0,Yoga,22.3,2.0,2.0,1.0,29.25
25.0,Male,62.1,1.68,149.0,112.0,69.0,0.39,958.0,Yoga,21.1,2.3,1.0,2.0,21.62
33.0,Male,51.1,1.76,196.0,175.0,77.0,1.24,740.0,HIIT,18.3,3.6,4.0,3.0,16.67
45.0,Male,60.6,1.71,143.0,126.0,70.0,0.52,1263.0,Strength,25.2,2.1,2.0,1.0,20.6
37.0,Male,63.0,1.76,158.0,131.0,73.0,1.02,1003.0,Yoga,22.6,2.0,3.0,1.0,20.39
23.0,Male,99.6,1.91,140.0,115.0,77.0,0.55,1082.0,Yoga,20.8,3.0,3.0,1.0,26.98
41.0,Male,46.0,1.67,149.0,126.0,60.0,0.66,264.0,Cardio,17.8,2.7,2.0,1.0,16.19
43.0,Male,60.4,1.65,168.0,150.0,69.0,0.99,395.0,Yoga,20.5,3.0,4.0,2.0,21.91
37.0,Female,73.2,1.58,157.0,125.0,68.0,0.73,416.0,Strength,27.0,2.2,4.0,2.0,29.6
39.0,Male,77.5,1.8,167.0,134.0,81.0,0.89,1074.0,Yoga,22.0,2.2,3.0,1.0,23.84
33.0,Male,91.4,1.83,134.0,115.0,59.0,1.03,340.0,Yoga,29.6,1.6,3.0,2.0,26.93
54.0,Male,59.8,1.81,137.0,116.0,69.0,0.66,346.0,Cardio,20.2,2.5,2.0,1.0,18.31
25.0,Female,47.9,1.64,157.0,128.0,62.0,0.62,289.0,Yoga,18.2,2.5,4.0,2.0,17.84
29.0,Male,80.6,1.64,136.0,116.0,65.0,0.56,1527.0,Strength,26.0,1.3,1.0,1.0,30.17
36.0,Male,88.0,1.88,176.0,147.0,80.0,0.8,606.0,Strength,23.4,2.6,2.0,1.0,24.73
47.0,Male,77.1,1.76,175.0,135.0,72.0,0.74,819.0,Yoga,16.7,1.9,3.0,1.0,24.86
18.0,Female,56.8,1.7,150.0,122.0,64.0,1.15,286.0,Cardio,17.6,2.4,5.0,2.0,19.8
20.0,Male,67.7,1.67,160.0,142.0,64.0,0.82,958.0,Strength,21.9,1.8,3.0,2.0,23.92
18.0,Male,63.8,1.78,157.0,126.0,68.0,0.84,81.0,Cardio,18.6,2.3,2.0,1.0,20.45
36.0,Male,92.0,1.8,160.0,133.0,65.0,0.96,338.0,Cardio,19.2,2.7,3.0,1.0,28.4
23.0,Male,121.9,1.87,147.0,120.0,63.0,0.89,415.0,Cardio,31.1,2.1,2.0,2.0,34.47
31.0,Male,70.1,1.65,171.0,139.0,66.0,0.97,722.0,Strength,25.9,2.3,4.0,3.0,25.36
44.0,Male,70.0,1.78,139.0,105.0,69.0,0.34,389.0,Cardio,19.0,3.3,3.0,1.0,22.06
28.0,Female,42.2,1.6,136.0,108.0,67.0,0.78,1134.0,Strength,20.4,1.6,1.0,1.0,16.29
39.0,Male,60.0,1.82,148.0,120.0,73.0,0.58,807.0,Yoga,18.2,1.8,2.0,1.0,18.38
32.0,Female,79.2,1.63,182.0,137.0,70.0,0.91,430.0,Yoga,32.2,2.8,3.0,2.0,29.71
44.0,Male,72.8,1.88,149.0,111.0,68.0,0.43,963.0,Yoga,13.5,1.6,2.0,1.0,20.7
42.0,Male,69.9,1.74,145.0,110.0,71.0,0.89,522.0,Yoga,17.8,1.6,3.0,1.0,22.79
28.0,Female,70.8,1.62,146.0,117.0,87.0,0.57,457.0,Yoga,27.4,2.6,1.0,1.0,26.97
34.0,Female,72.2,1.58,183.0,163.0,79.0,1.53,946.0,HIIT,27.6,3.1,5.0,3.0,29.38
49.0,Female,54.2,1.55,190.0,153.0,57.0,1.23,80.0,HIIT,29.4,3.0,4.0,3.0,22.51
41.0,Male,74.9,1.83,181.0,152.0,62.0,0.83,887.0,Yoga,21.8,2.5,4.0,2.0,22.17
19.0,Male,85.7,1.86,134.0,111.0,65.0,0.85,419.0,Cardio,18.5,1.8,3.0,2.0,24.47
44.0,Female,56.3,1.64,182.0,156.0,71.0,1.28,427.0,HIIT,23.1,2.7,5.0,2.0,20.93
23.0,Male,61.3,1.68,152.0,132.0,65.0,0.96,1277.0,Strength,22.8,2.4,3.0,2.0,22.21
53.0,Female,73.6,1.7,178.0,142.0,70.0,0.78,480.0,HIIT,25.4,2.8,4.0,2.0,24.99
48.0,Male,71.1,1.68,143.0,110.0,86.0,0.58,951.0,Strength,24.7,2.3,2.0,1.0,25.17
39.0,Female,93.1,1.69,166.0,137.0,72.0,0.71,739.0,Strength,37.2,1.7,3.0,1.0,32.0
38.0,Female,70.4,1.64,130.0,101.0,77.0,0.46,766.0,Yoga,31.6,2.5,3.0,1.0,26.03
33.0,Female,70.0,1.59,194.0,171.0,68.0,1.21,577.0,Strength,29.7,2.0,3.0,3.0,27.78
44.0,Male,59.3,1.73,148.0,137.0,64.0,0.91,554.0,HIIT,21.6,2.3,3.0,2.0,19.26
32.0,Female,64.5,1.56,141.0,124.0,79.0,0.66,1136.0,Yoga,26.6,1.6,1.0,1.0,26.35
39.0,Male,69.7,1.79,153.0,131.0,66.0,0.87,948.0,Yoga,26.9,1.7,2.0,2.0,21.86
46.0,Female,63.4,1.58,166.0,145.0,77.0,0.93,492.0,Strength,28.0,3.3,4.0,2.0,25.44
